Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
Hero Passion X pro,2016,7.5,8.25,31000,Petrol,Individual,Manual,0
Bajaj Pulsar NS 200,2012,7.5,14.85,13000,Petrol,Individual,Manual,0
Bajaj Pulsar NS 200,2013,7.5,14.85,45000,Petrol,Individual,Manual,0
Yamaha Fazer ,2014,7.5,13.2,8000,Petrol,Individual,Manual,0
Honda Activa 4G,2017,7.2,7.65,4300,Petrol,Individual,Automatic,0
TVS Sport ,2017,7.2,7.8,15000,Petrol,Individual,Manual,0
Yamaha FZ S V 2.0,2015,7.2,12.6,23000,Petrol,Individual,Manual,0
Honda Dream Yuga ,2017,7.2,8.1,8600,Petrol,Individual,Manual,0
Honda Activa 4G,2017,6.75,7.65,4000,Petrol,Individual,Automatic,0
Bajaj Avenger Street 220,2011,6.75,14.25,24000,Petrol,Individual,Manual,0
TVS Apache RTR 180,2014,6.75,12.39,23000,Petrol,Individual,Manual,0
Bajaj Pulsar NS 200,2012,6.75,14.85,14500,Petrol,Individual,Manual,0
Bajaj Avenger 220 dtsi,2010,6.75,14.25,27000,Petrol,Individual,Manual,0
Hero Splender iSmart,2016,6.75,8.1,14000,Petrol,Individual,Manual,0
Activa 3g,2016,6.75,8.1,500,Petrol,Individual,Automatic,0
Hero Passion Pro,2016,6.75,8.25,1000,Petrol,Individual,Manual,0
TVS Apache RTR 160,2014,6.3,12.15,42000,Petrol,Individual,Manual,0
Honda CB Trigger,2013,6.3,10.95,12000,Petrol,Individual,Manual,0
Hero Splender iSmart,2015,6.0,8.1,14000,Petrol,Individual,Manual,0
Yamaha FZ S ,2012,6.0,12.45,5500,Petrol,Individual,Manual,0
Hero Passion Pro,2015,6.0,8.25,6700,Petrol,Individual,Manual,0
Bajaj Pulsar 135 LS,2014,6.0,9.6,13700,Petrol,Individual,Manual,0
Activa 4g,2017,6.0,7.65,1300,Petrol,Individual,Automatic,0
Honda CB Unicorn,2015,5.7,10.8,38600,Petrol,Individual,Manual,0
Hero Honda CBZ extreme,2011,5.7,11.8,75000,Petrol,Individual,Manual,0
Honda Karizma,2011,5.25,15.75,30000,Petrol,Individual,Manual,0
Honda Activa 125,2016,5.25,8.55,24000,Petrol,Individual,Automatic,0
TVS Jupyter,2014,5.25,7.8,19000,Petrol,Individual,Automatic,0
Honda Karizma,2010,4.65,15.75,213000,Petrol,Individual,Manual,0
Hero Honda Passion Pro,2012,4.5,7.65,60000,Petrol,Individual,Manual,0
Hero Splender Plus,2016,4.5,7.2,50000,Petrol,Individual,Manual,0
Honda CB Shine,2013,4.5,8.7,30000,Petrol,Individual,Manual,0
Bajaj Discover 100,2013,4.05,7.05,21000,Petrol,Individual,Manual,0
Bajaj Pulsar 150,2008,3.75,11.25,26000,Petrol,Individual,Manual,1
Suzuki Access 125,2008,3.75,8.7,1900,Petrol,Individual,Automatic,0
TVS Wego,2010,3.75,7.8,22000,Petrol,Individual,Automatic,0
Honda CB twister,2013,3.75,7.65,32000,Petrol,Individual,Manual,0
Hero Glamour,2013,3.75,8.55,18000,Petrol,Individual,Manual,0
Hero Super Splendor,2005,3.0,8.55,55000,Petrol,Individual,Manual,0
Bajaj Pulsar 150,2008,3.0,11.25,60000,Petrol,Individual,Manual,0
Bajaj Discover 125,2012,3.0,8.55,25000,Petrol,Individual,Manual,1
Hero Hunk,2007,3.0,11.25,49000,Petrol,Individual,Manual,1
Hero  Ignitor Disc,2013,3.0,9.75,24000,Petrol,Individual,Manual,1
Hero  CBZ Xtreme,2008,3.0,11.8,50000,Petrol,Individual,Manual,0
Bajaj  ct 100,2015,2.7,4.8,35000,Petrol,Individual,Manual,0
Activa 3g,2008,2.55,7.8,500000,Petrol,Individual,Automatic,0
Honda CB twister,2010,2.4,7.65,33000,Petrol,Individual,Manual,0
Bajaj Discover 125,2011,2.25,8.55,35000,Petrol,Individual,Manual,1
Honda CB Shine,2007,1.8,8.7,53000,Petrol,Individual,Manual,0
Bajaj Pulsar 150,2006,1.5,11.25,92233,Petrol,Individual,Manual,0
i20,2010,48.75,101.85,58000,Diesel,Dealer,Manual,1
grand i10,2015,66.0,85.5,28200,Petrol,Dealer,Manual,0
i10,2011,44.25,69.0,53460,Petrol,Dealer,Manual,0
eon,2015,41.25,66.45,28282,Petrol,Dealer,Manual,0
grand i10,2016,78.75,85.5,3493,Petrol,Dealer,Manual,1
xcent,2017,86.25,106.95,12479,Petrol,Dealer,Manual,0
grand i10,2015,77.25,85.5,34797,Petrol,Dealer,Automatic,0
i20,2017,118.5,121.5,3435,Petrol,Dealer,Manual,0
grand i10,2015,72.75,85.5,21125,Diesel,Dealer,Manual,0
i10,2012,46.5,69.0,35775,Petrol,Dealer,Manual,0
elantra,2015,176.25,221.85,43535,Diesel,Dealer,Manual,0
creta,2016,168.75,204.0,22671,Petrol,Dealer,Manual,0
i20,2011,43.5,101.85,31604,Petrol,Dealer,Manual,0
grand i10,2017,78.75,85.5,20114,Petrol,Dealer,Manual,0
verna,2012,67.5,141.0,36100,Petrol,Dealer,Manual,0
eon,2016,43.5,66.45,12500,Petrol,Dealer,Manual,0
eon,2016,47.25,66.45,15000,Petrol,Dealer,Manual,0
verna,2014,96.75,141.0,45078,Petrol,Dealer,Manual,0
verna,2012,67.5,141.0,36000,Petrol,Dealer,Manual,0
eon,2017,52.5,66.45,38488,Petrol,Dealer,Manual,0
i20,2013,67.5,101.85,32000,Petrol,Dealer,Automatic,0
i20,2014,90.0,114.0,77632,Diesel,Dealer,Manual,0
verna,2015,123.75,141.0,61381,Diesel,Dealer,Manual,0
verna,2013,76.65,141.0,36198,Petrol,Dealer,Automatic,0
i10,2011,40.5,69.0,22517,Petrol,Dealer,Manual,0
grand i10,2015,78.75,85.5,24678,Petrol,Dealer,Manual,0
i10,2011,38.25,66.45,57000,Petrol,Dealer,Manual,0
verna,2012,74.25,141.0,60000,Diesel,Dealer,Manual,0
i20,2012,46.5,101.85,52132,Diesel,Dealer,Manual,0
verna,2013,92.25,141.0,45000,Diesel,Dealer,Manual,0
verna,2017,138.75,141.0,15001,Petrol,Dealer,Manual,0
elantra,2015,171.75,221.85,12900,Petrol,Dealer,Automatic,0
grand i10,2013,58.5,85.5,53000,Diesel,Dealer,Manual,0
grand i10,2015,82.5,85.5,4492,Petrol,Dealer,Manual,0
verna,2017,136.5,141.0,15141,Petrol,Dealer,Manual,0
eon,2016,46.5,66.45,11849,Petrol,Dealer,Manual,0
creta,2015,168.75,204.0,68000,Diesel,Dealer,Manual,0
verna,2013,72.0,141.0,60241,Petrol,Dealer,Manual,0
eon,2012,30.0,66.45,23709,Petrol,Dealer,Manual,0
verna,2012,80.25,141.0,32322,Diesel,Dealer,Manual,0
xcent,2015,71.25,106.95,35866,Petrol,Dealer,Manual,1
xcent,2014,66.0,106.95,34000,Petrol,Dealer,Manual,0
i20,2016,93.75,114.0,7000,Petrol,Dealer,Manual,0
verna,2013,89.25,141.0,49000,Diesel,Dealer,Manual,0
verna,2012,78.0,141.0,71000,Diesel,Dealer,Manual,0
i20,2012,56.25,101.85,35000,Petrol,Dealer,Manual,0
verna,2015,89.25,141.0,36000,Petrol,Dealer,Manual,0
i10,2013,60.0,69.0,30000,Petrol,Dealer,Manual,0
i20,2016,78.75,114.0,17000,Petrol,Dealer,Manual,0
creta,2016,193.5,204.0,35934,Diesel,Dealer,Manual,0
city,2013,75.0,148.5,56701,Petrol,Dealer,Manual,0
brio,2015,81.0,102.3,31427,Petrol,Dealer,Automatic,0
city,2014,108.0,148.5,48000,Diesel,Dealer,Manual,0
city,2013,78.75,148.5,54242,Petrol,Dealer,Manual,0
brio,2012,45.0,80.25,53675,Petrol,Dealer,Manual,0
city,2016,153.75,204.0,49562,Petrol,Dealer,Manual,0
city,2015,127.5,204.0,40324,Petrol,Dealer,Manual,0
city,2015,126.0,204.0,25000,Petrol,Dealer,Manual,0
amaze,2014,58.5,105.0,36054,Petrol,Dealer,Manual,0
city,2016,137.25,204.0,29223,Petrol,Dealer,Manual,0
brio,2016,82.5,89.55,5600,Petrol,Dealer,Manual,0
amaze,2015,60.0,87.0,40023,Petrol,Dealer,Manual,0
jazz,2016,99.0,115.5,16002,Petrol,Dealer,Manual,0
amaze,2015,60.0,105.0,40026,Petrol,Dealer,Manual,0
jazz,2017,97.5,130.5,21200,Petrol,Dealer,Manual,0
amaze,2014,54.75,105.0,35000,Petrol,Dealer,Manual,0
city,2016,125.25,141.0,19434,Diesel,Dealer,Manual,0
brio,2017,72.0,87.0,19000,Petrol,Dealer,Manual,0
city,2015,100.5,150.0,18828,Petrol,Dealer,Manual,0
city,2011,61.5,150.0,69341,Petrol,Dealer,Manual,0
city,2009,45.0,150.0,69562,Petrol,Dealer,Manual,0
city,2015,112.5,150.0,27600,Petrol,Dealer,Manual,0
jazz,2010,33.75,112.5,61203,Petrol,Dealer,Manual,0
brio,2014,79.5,102.0,16500,Petrol,Dealer,Manual,0
city,2016,163.5,204.0,30753,Petrol,Dealer,Automatic,0
city,2015,129.75,204.0,24800,Petrol,Dealer,Manual,0
city,2015,145.5,204.0,21780,Petrol,Dealer,Manual,0
jazz,2016,90.0,126.0,4000,Petrol,Dealer,Manual,0
city,2014,93.75,204.0,40126,Petrol,Dealer,Manual,0
brio,2015,78.75,88.5,14465,Petrol,Dealer,Manual,0
city,2006,31.5,114.0,50456,Petrol,Dealer,Manual,0
city,2014,123.75,210.0,63000,Diesel,Dealer,Manual,0
city,2016,134.85,177.0,9010,Petrol,Dealer,Manual,0
brio,2013,52.5,88.5,9800,Petrol,Dealer,Manual,0
jazz,2016,111.0,127.5,15059,Petrol,Dealer,Automatic,0
jazz,2016,84.75,118.5,28569,Petrol,Dealer,Manual,0
amaze,2015,86.25,112.5,44000,Petrol,Dealer,Automatic,0
city,2015,126.0,204.0,34000,Petrol,Dealer,Manual,0
city,2016,151.65,204.0,10980,Petrol,Dealer,Manual,0
amaze,2014,67.5,96.0,19000,Petrol,Dealer,Manual,0
brio,2015,81.0,91.5,31427,Petrol,Dealer,Manual,0
jazz,2016,96.0,126.0,12000,Petrol,Dealer,Manual,0
city,2010,48.75,148.5,38000,Petrol,Dealer,Manual,0
amaze,2014,56.25,102.0,33019,Petrol,Dealer,Manual,0
city,2015,128.25,196.35,60076,Diesel,Dealer,Manual,0
city,2016,142.5,174.0,33988,Diesel,Dealer,Manual,0
brio,2015,60.0,88.5,60000,Petrol,Dealer,Manual,0
city,2009,50.25,165.0,87934,Petrol,Dealer,Manual,0
city,2017,172.5,187.5,9000,Diesel,Dealer,Manual,0
brio,2016,79.5,88.5,5464,Petrol,Dealer,Manual,0
